anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-08-22,18:56:07,6.49,"18,818",,
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-08-24,21:50:09,6.48,"19,002",,
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-08-25,21:46:48,6.47,"19,102",,
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-08-26,21:52:13,6.47,"19,210",,
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-08-27,14:36:19,6.47,"19,255",75420,
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-08-28,09:19:22,6.47,"19,294",75566,
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-08-29,14:39:46,6.47,"19,385",75748,18
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-08-30,01:30:27,6.47,"19,412",75850,18
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-08-31,01:23:59,6.47,"19,494",76057,20
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-01,03:59:20,6.46,"19,569",76200,29
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-02,01:21:33,6.46,"19,665",76615,27
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-03,01:21:50,6.46,"19,760",76873,2
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-04,01:09:33,6.45,"19,846",77057,10
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-05,23:54:12,6.45,"19,991",77391,19
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-07,00:14:16,6.45,"20,071",77547,22
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-08,02:35:29,6.44,"20,165",77671,31
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-09,01:22:10,6.44,"20,262",77901,29
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-10,01:17:27,6.44,"20,355",78116,2
suterare_seijo_no_isekai_gohan_tabi_kaku,2026-summer,2026-09-11,01:08:29,6.43,"20,444",78284,8
