anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
bungou_stray_dogs_wan_2,2026-summer,2026-08-22,18:56:07,7.32,"11,464",,
bungou_stray_dogs_wan_2,2026-summer,2026-08-24,21:50:09,7.33,"11,509",,
bungou_stray_dogs_wan_2,2026-summer,2026-08-25,21:46:48,7.34,"11,532",,
bungou_stray_dogs_wan_2,2026-summer,2026-08-26,21:52:13,7.34,"11,552",,
bungou_stray_dogs_wan_2,2026-summer,2026-08-27,14:36:19,7.34,"11,570",8506,
bungou_stray_dogs_wan_2,2026-summer,2026-08-28,09:19:22,7.34,"11,595",8542,
bungou_stray_dogs_wan_2,2026-summer,2026-08-29,14:39:46,7.34,"11,626",8571,60
bungou_stray_dogs_wan_2,2026-summer,2026-08-30,01:30:27,7.34,"11,631",8579,60
bungou_stray_dogs_wan_2,2026-summer,2026-08-31,01:23:59,7.34,"11,655",8596,114
bungou_stray_dogs_wan_2,2026-summer,2026-09-01,03:59:20,7.34,"11,678",8612,158
bungou_stray_dogs_wan_2,2026-summer,2026-09-02,01:21:33,7.34,"11,691",8631,177
bungou_stray_dogs_wan_2,2026-summer,2026-09-03,01:21:50,7.34,"11,715",8642,200
bungou_stray_dogs_wan_2,2026-summer,2026-09-04,01:09:33,7.34,"11,729",8678,
